[321:473] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x00, FN = 0x00, DEVICE = 0x8086, VENDOR = 0x2C62
[321:473] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x00, FN = 0x01, DEVICE = 0x8086, VENDOR = 0x2D01
[321:473] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x00, DEVICE = 0x8086, VENDOR = 0x2D10
[321:474] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x01, DEVICE = 0x8086, VENDOR = 0x2D11
[321:474] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x02, DEVICE = 0x8086, VENDOR = 0x2D12
[321:474] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x03, DEVICE = 0x8086, VENDOR = 0x2D13
[377:431] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x00, FN = 0x00, DEVICE = 0x8086, VENDOR = 0x2C62
[377:447] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x00, FN = 0x01, DEVICE = 0x8086, VENDOR = 0x2D01
[377:447] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x00, DEVICE = 0x8086, VENDOR = 0x2D10
[377:448] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x01, DEVICE = 0x8086, VENDOR = 0x2D11
[377:448] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x02, DEVICE = 0x8086, VENDOR = 0x2D12
[377:448] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x03, DEVICE = 0x8086, VENDOR = 0x2D13
[426:754] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x00, FN = 0x00, DEVICE = 0x8086, VENDOR = 0x2C62
[426:754] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x00, FN = 0x01, DEVICE = 0x8086, VENDOR = 0x2D01
[426:755] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x00, DEVICE = 0x8086, VENDOR = 0x2D10
[426:755] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x01, DEVICE = 0x8086, VENDOR = 0x2D11
[426:755] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x02, DEVICE = 0x8086, VENDOR = 0x2D12
[426:755] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x03, DEVICE = 0x8086, VENDOR = 0x2D13
[455:952] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x00, FN = 0x00, DEVICE = 0x8086, VENDOR = 0x2C62
[455:952] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x00, FN = 0x01, DEVICE = 0x8086, VENDOR = 0x2D01
[455:952] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x00, DEVICE = 0x8086, VENDOR = 0x2D10
[455:952] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x01, DEVICE = 0x8086, VENDOR = 0x2D11
[455:953] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x02, DEVICE = 0x8086, VENDOR = 0x2D12
[455:953] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x03, DEVICE = 0x8086, VENDOR = 0x2D13
[661:426] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x00, FN = 0x00, DEVICE = 0x8086, VENDOR = 0x2C62
[661:426] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x00, FN = 0x01, DEVICE = 0x8086, VENDOR = 0x2D01
[661:426] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x00, DEVICE = 0x8086, VENDOR = 0x2D10
[661:426] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x01, DEVICE = 0x8086, VENDOR = 0x2D11
[661:427] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x02, DEVICE = 0x8086, VENDOR = 0x2D12
[661:427] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x03, DEVICE = 0x8086, VENDOR = 0x2D13
[661:579] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x00, FN = 0x00, DEVICE = 0x8086, VENDOR = 0x2C62
[661:580] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x00, FN = 0x01, DEVICE = 0x8086, VENDOR = 0x2D01
[661:580] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x00, DEVICE = 0x8086, VENDOR = 0x2D10
[661:580] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x01, DEVICE = 0x8086, VENDOR = 0x2D11
[661:580] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x02, DEVICE = 0x8086, VENDOR = 0x2D12
[661:580] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x03, DEVICE = 0x8086, VENDOR = 0x2D13
[664:388] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x00, FN = 0x00, DEVICE = 0x8086, VENDOR = 0x2C62
[664:388] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x00, FN = 0x01, DEVICE = 0x8086, VENDOR = 0x2D01
[664:388] (Error) CEvergreenGraphicsDevice() : CPCIDeviceManager::DetectDevices - missing parent of device: BN = 0xFF, DN = 0x02, FN = 0x00, DEVICE = 0x8086, VENDOR = 0x2D10
